ns	file	bytes	lines	ndefs
app.client.substrate.chrome-derive	src/app/client/substrate/chrome_derive.cljc	13824	325	30
app.client.substrate.chrome-material	src/app/client/substrate/chrome_material.cljc	12785	284	37
app.client.substrate.connector-material	src/app/client/substrate/connector_material.cljc	19117	450	57
app.client.substrate.connector-route	src/app/client/substrate/connector_route.cljc	33215	720	57
app.client.substrate.frame-delta	src/app/client/substrate/frame_delta.cljc	7834	197	17
app.client.substrate.frame-effect-view	src/app/client/substrate/frame_effect_view.cljc	11748	277	21
app.client.substrate.frame-effects	src/app/client/substrate/frame_effects.cljc	14194	317	26
app.client.substrate.frame-graph	src/app/client/substrate/frame_graph.cljc	41742	828	44
app.client.substrate.frame-inputs	src/app/client/substrate/frame_inputs.cljc	9431	249	29
app.client.substrate.frame-plan-view	src/app/client/substrate/frame_plan_view.cljc	15611	331	21
app.client.substrate.frame-scheduler	src/app/client/substrate/frame_scheduler.cljc	7915	202	26
app.client.substrate.frame-semantic-state	src/app/client/substrate/frame_semantic_state.cljc	2998	65	5
app.client.substrate.image-material	src/app/client/substrate/image_material.cljc	15330	372	37
app.client.substrate.path-material	src/app/client/substrate/path_material.cljc	24594	564	52
app.client.substrate.path-tessellation	src/app/client/substrate/path_tessellation.cljc	18815	457	42
app.client.substrate.region3d-evaluation	src/app/client/substrate/region3d_evaluation.cljc	3237	76	4
app.client.substrate.region3d-material	src/app/client/substrate/region3d_material.cljc	30969	708	60
app.client.substrate.region3d-placement	src/app/client/substrate/region3d_placement.cljc	19884	457	38
app.client.substrate.region3d-scene	src/app/client/substrate/region3d_scene.cljc	55716	1283	98
app.client.substrate.region-rungs	src/app/client/substrate/region_rungs.cljc	3952	93	4
app.client.substrate.scene-tape	src/app/client/substrate/scene_tape.cljc	33059	768	51
app.client.substrate.snap	src/app/client/substrate/snap.cljc	11211	246	17
app.client.substrate.webgpu.buffer-pool	src/app/client/substrate/webgpu/buffer_pool.cljs	21920	493	22
app.client.substrate.webgpu.chrome-gpu	src/app/client/substrate/webgpu/chrome_gpu.cljs	17226	342	17
app.client.substrate.webgpu.compositor-gpu	src/app/client/substrate/webgpu/compositor_gpu.cljs	72274	1488	76
app.client.substrate.webgpu.connector-gpu	src/app/client/substrate/webgpu/connector_gpu.cljs	22248	446	18
app.client.substrate.webgpu.gpu-budget	src/app/client/substrate/webgpu/gpu_budget.cljs	16177	358	29
app.client.substrate.webgpu.path-gpu	src/app/client/substrate/webgpu/path_gpu.cljs	18535	406	20
app.client.substrate.webgpu.region3d-gpu	src/app/client/substrate/webgpu/region3d_gpu.cljs	81394	1628	89
app.client.substrate.webgpu.region3d-placement-gpu	src/app/client/substrate/webgpu/region3d_placement_gpu.cljs	25753	540	38
app.client.substrate.webgpu.region-bindings	src/app/client/substrate/webgpu/region_bindings.cljs	10635	238	20
app.client.substrate.webgpu.renderer	src/app/client/substrate/webgpu/renderer.cljs	202877	4011	155
app.client.substrate.webgpu.verifier	src/app/client/substrate/webgpu/verifier.cljs	304177	5696	191
app.client.workspace.chrome-runtime	src/app/client/workspace/chrome_runtime.cljs	16815	413	43
app.client.workspace.containers	src/app/client/workspace/containers.cljc	12458	311	28
app.client.workspace.face-assembly	src/app/client/workspace/face_assembly.cljc	30915	620	27
app.client.workspace.face-primitives	src/app/client/workspace/face_primitives.cljc	61855	1365	85
app.client.workspace.frame-runtime	src/app/client/workspace/frame_runtime.cljs	15083	356	50
app.client.workspace.rect-tree	src/app/client/workspace/rect_tree.cljc	35219	715	20
app.client.workspace.region3d-pointer	src/app/client/workspace/region3d_pointer.cljc	4740	121	17
app.client.workspace.region3d-runtime	src/app/client/workspace/region3d_runtime.cljs	27548	651	64
app.client.workspace.runtime.fonts	src/app/client/workspace/runtime/fonts.cljs	12503	275	18
app.client.workspace.scene-runtime	src/app/client/workspace/scene_runtime.cljs	29638	599	54
app.client.workspace.scene-store	src/app/client/workspace/scene_store.cljc	35347	742	38
app.client.workspace.selection	src/app/client/workspace/selection.cljc	6208	159	19
app.client.workspace.text-layout	src/app/client/workspace/text_layout.cljc	73038	1548	82
app.client.workspace.text-layout-planes	src/app/client/workspace/text_layout_planes.cljc	25160	574	46
app.client.workspace.text-shaper	src/app/client/workspace/text_shaper.cljs	13620	340	26
